CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,CUISINE DESCRIPTION,SCORE,GRADE,GRADE DATE
41682041,NY FRESH PIZZA,MANHATTAN,787,9 AVENUE,10019.0,Pizza,8.0,A,2016-05-17
41684752,VICTORIO'S PIZZA PLUS,MANHATTAN,348,WEST  145 STREET,10039.0,Pizza,13.0,A,2016-03-22
41686184,OLI 99Â¢ FRESH PIZZA,BRONX,2,EAST BURNSIDE AVENUE,10453.0,Pizza,11.0,A,2017-01-26
41686667,OMG PIZZA,BROOKLYN,1307,MYRTLE AVENUE,11221.0,Pizza,7.0,A,2016-10-07
41688142,WILLIAMSBURG PIZZA,BROOKLYN,620,ATLANTIC AVENUE,11217.0,Pizza,0.0,A,2017-01-25
41688186,WILLIAMSBURG PIZZA,BROOKLYN,620,ATLANTIC AVENUE,11217.0,Pizza,0.0,A,2017-01-25
41688479,MADISON'S PIZZERIA,QUEENS,775,WOODWARD AVENUE,11385.0,Pizza,10.0,A,2016-01-13
41689247,THE BEST PIZZA,MANHATTAN,748,9 AVENUE,10019.0,Pizza,11.0,A,2017-02-16
41689915,TRIPLE T PIZZA & BURGERS,BRONX,3740,BOSTON ROAD,10469.0,Pizza,12.0,A,2017-01-31
41690381,C & M PIZZA,BRONX,2519,WEBSTER AVENUE,10458.0,Pizza,11.0,A,2016-03-04
41691396,SAM'S,QUEENS,8906,NORTHERN BOULEVARD,11372.0,Pizza,12.0,A,2016-11-01
41693709,LITTLE CAESARS,QUEENS,7428,JAMAICA AVENUE,11421.0,Pizza,8.0,A,2016-10-13
41695668,CLAUDINE'S,BROOKLYN,311,SMITH STREET,11231.0,Pizza,12.0,A,2016-10-12
41696159,LUIGI'S PIZZA & PASTA,BRONX,119,EAST MOUNT EDEN AVENUE,10452.0,Pizza,8.0,A,2016-10-31
41696163,SHESHE PIZZERIA,MANHATTAN,961,COLUMBUS AVENUE,10025.0,Pizza,11.0,A,2017-02-15
41696878,99Â¢ HOT PIZZA,BROOKLYN,255,LIVINGSTON STREET,11217.0,Pizza,5.0,A,2017-01-28
41698319,KORONET PIZZA,MANHATTAN,4087,BROADWAY,10032.0,Pizza,21.0,B,2016-12-13
41699573,PIZZA,BRONX,231,EAST  167 STREET,10456.0,Pizza,12.0,A,2016-04-08
41700017,LITTLE CAESARS,QUEENS,8610,ROOSEVELT AVENUE,11372.0,Pizza,2.0,A,2017-02-06
41700921,99 CENT PIZZA,MANHATTAN,4151,BROADWAY,10033.0,Pizza,13.0,A,2017-03-30
41701184,LITTLE CAESARS,BRONX,1054,SOUTHERN BOULEVARD,10459.0,Pizza,7.0,A,2017-03-30
41701266,LA BONA PIZZA RESTAURANT,BROOKLYN,2426,PITKIN AVENUE,11208.0,Pizza,9.0,A,2016-12-15
41701789,FLACO'S PIZZERIA,MANHATTAN,3876,BROADWAY,10032.0,Pizza,11.0,A,2016-09-28
41702516,WING BISTRO,BROOKLYN,1066,FLATBUSH AVENUE,11226.0,Pizza,11.0,A,2016-11-01
41702705,ZZ'S PIZZA & GRILL,STATEN ISLAND,1,RICHMOND TERRACE,10301.0,Pizza,12.0,A,2017-02-01
41703517,PIZZA HUT,BRONX,601,WESTCHESTER AVENUE,10455.0,Pizza,6.0,A,2017-02-03
41703671,LITTLE CAESARS,BRONX,3706,3 AVENUE,10456.0,Pizza,12.0,A,2016-03-23
41704055,JOHNS PIZZA,BRONX,1788,WESTCHESTER AVENUE,10472.0,Pizza,7.0,A,2016-08-01
41704249,FAMOUS FAMIGLIA PIZZERIA,MANHATTAN,1398,MADISON AVENUE,10029.0,Pizza,12.0,A,2016-07-26
41704268,MARCELLA'S PIZZERIA & CATERING,QUEENS,25921,UNION TURNPIKE,11004.0,Pizza,10.0,A,2017-04-10
41704800,99Â¢ FAMOUS PIZZA,MANHATTAN,430,EAST   14 STREET,10009.0,Pizza,3.0,A,2016-09-27
41704965,PIZZA HUT,BRONX,2013,WESTCHESTER AVENUE,10462.0,Pizza,5.0,A,2016-09-13
41705628,PIZZA MIA,STATEN ISLAND,529,TOMPKINS AVENUE,10305.0,Pizza,9.0,A,2016-12-20
41705867,PIZZA NOVA,MANHATTAN,150,DYCKMAN STREET,10040.0,Pizza,2.0,A,2017-02-08
41706076,LITTLE CAESARS,BROOKLYN,1482,FLATBUSH AVENUE,11210.0,Pizza,12.0,A,2016-11-25
41706083,VIDALI'S PIZZA,QUEENS,3106,21 STREET,11106.0,Pizza,12.0,A,2016-11-01
41706383,PIZ-ZETTA,BROOKLYN,90,LIVINGSTON STREET,11201.0,Pizza,7.0,A,2016-06-23
41710589,F & F 99 CENTS PIZZA,MANHATTAN,2127,3 AVENUE,10035.0,Pizza,8.0,A,2016-11-03
41710730,NORTH SHORE PIZZERIA & RESTAURANT,STATEN ISLAND,1376,FOREST AVENUE,10302.0,Pizza,26.0,B,2016-11-02
41711029,MY FAMILY PIZZA,STATEN ISLAND,340,VICTORY BOULEVARD,10301.0,Pizza,3.0,Z,2017-04-12
41712295,BEN'S PIZZA AND RESTAURANT,BROOKLYN,8125,3 AVENUE,11209.0,Pizza,10.0,A,2016-04-15
41713178,DARO'S PIZZA AND CHICKEN,QUEENS,6814,ROOSEVELT AVENUE,11377.0,Pizza,9.0,A,2016-04-25
41715730,MIA PIZZA,QUEENS,2417,DITMARS BOULEVARD,11105.0,Pizza,5.0,A,2017-04-06
41716092,DOMINO'S,MANHATTAN,3624,BROADWAY,10031.0,Pizza,2.0,A,2017-01-11
41716200,LITTLE CAESARS,BRONX,841,EAST  149 STREET,10455.0,Pizza,11.0,A,2016-05-24
41716904,HIGHLINE PIZZERIA,MANHATTAN,503,WEST   28 STREET,10001.0,Pizza,9.0,A,2016-11-16
41717500,JOE'S PIZZA,MANHATTAN,150,EAST   14 STREET,10003.0,Pizza,11.0,A,2016-06-30
41719692,ANDRE'S PIZZA,QUEENS,2519,40 AVENUE,11101.0,Pizza,12.0,A,2016-04-01
41721164,SOFIA'S PIZZA,QUEENS,11215,LINDEN BOULEVARD,11420.0,Pizza,12.0,A,2016-12-15
41722020,2 BROS PIZZA,BRONX,207,EAST FORDHAM ROAD,10458.0,Pizza,12.0,A,2016-09-09
41722504,TRI-COLOR RESTAURANT AND PIZZERIA,BROOKLYN,191,GRAHAM AVENUE,11206.0,Pizza,10.0,A,2017-02-25
50000030,VILLAGE MARIA,STATEN ISLAND,3995,AMBOY ROAD,10308.0,Pizza,9.0,A,2017-01-26
50000059,BOARDWALK PIZZERIA RESTAURANT,QUEENS,6820,ROCKAWAY BEACH BOULEVARD,11692.0,Pizza,12.0,A,2016-07-08
50000187,GRANDMA PIZZA,MANHATTAN,2551,AMSTERDAM AVENUE,10033.0,Pizza,8.0,A,2016-03-30
50000222,PAPA JOHN'S,QUEENS,8953,FRANCIS LEWIS BLVD,11427.0,Pizza,7.0,A,2016-09-01
50000282,UPTOWN SLICES,MANHATTAN,272,W 135 STREET,10030.0,Pizza,12.0,A,2017-01-25
50000348,GINO'S PIZZA EXPRESS,QUEENS,6269,DRY HARBOR RD,11379.0,Pizza,11.0,A,2016-04-26
50000351,MILKFLOWER,QUEENS,3412,31ST AVE,11106.0,Pizza,9.0,A,2017-01-26
50000458,BEVERLEY PIZZA & CAFE,BROOKLYN,358,E 2ND ST,11218.0,Pizza,10.0,A,2016-09-28
50000655,STEVES PIZZA,BROOKLYN,603,SUTTER AVE,11207.0,Pizza,12.0,A,2016-07-06
50000715,JR. BELLA'S,BROOKLYN,760,CONEY ISLAND AVENUE,11218.0,Pizza,7.0,A,2016-11-16
50000732,LOWER EAST SIDE PIZZA,MANHATTAN,181,EAST BROADWAY,10002.0,Pizza,7.0,A,2017-02-22
50000777,PIZZA BOY I,QUEENS,7404,37TH AVE,11372.0,Pizza,9.0,A,2016-05-31
50000869,GOTHAM PIZZA,MANHATTAN,852,EIGHTH AVE,10019.0,Pizza,12.0,A,2016-11-14
50000923,DI FARA PIZZERIA,BROOKLYN,1424,AVENUE J,11230.0,Pizza,9.0,A,2017-03-15
50000937,MIKE DADDY'S PIZZA,BROOKLYN,449,7TH AVENUE,11215.0,Pizza,9.0,A,2016-07-13
50001048,99 CENTS BEST & FRESH PIZZA,MANHATTAN,166,WEST 27 STREET,10001.0,Pizza,7.0,A,2017-04-17
50001201,PORTO BELLO PIZZERIA & RESTAURANT,QUEENS,43-18,DITMARS BLVD,11105.0,Pizza,8.0,A,2016-07-01
50001396,PIZZA PLUS,MANHATTAN,2253,3RD AVE,10035.0,Pizza,13.0,A,2016-10-04
50001454,GENESIS PIZZA PARLOR,QUEENS,149-09,UNION TPKE,11367.0,Pizza,3.0,A,2017-01-04
50001500,DOMINO'S,QUEENS,109-64,FRANCIS LEWIS BLVD,11429.0,Pizza,12.0,A,2016-08-16
50001541,TONY & VAL'S,BRONX,6201,BROADWAY,10471.0,Pizza,10.0,A,2017-02-01
50001702,D'ANGELO'S PIZZA,QUEENS,82-37,164 STREET,11432.0,Pizza,13.0,A,2016-05-26
50001877,RIZZO FINE PIZZA,MANHATTAN,17,CLINTON STREET,10002.0,Pizza,6.0,A,2017-03-30
50001883,NORBERT'S PIZZA,BROOKLYN,4,STUYVESANT AVENUE,11221.0,Pizza,2.0,A,2017-03-15
50001940,MERILU PIZZA AL METRO,MANHATTAN,791,9TH AVE,10019.0,Pizza,12.0,A,2016-07-27
50001951,TOMS PIZZA,QUEENS,104-10,JAMAICA AVE,11418.0,Pizza,9.0,A,2016-06-08
50002306,DOMINO'S,BRONX,1468,WESTCHESTER AVE,10472.0,Pizza,12.0,A,2016-10-24
50002403,LA BELLEZZA PIZZERIA,MANHATTAN,315,BROADWAY,10007.0,Pizza,17.0,B,2016-12-09
50002405,MAMMA MIA PIZZA,MANHATTAN,1760,1ST AVENUE,10128.0,Pizza,13.0,A,2016-12-12
